,#arcs predicted,#arcs used,average runtime,average solver runtime,runtime limit hit,percentage optimally solved,mip gap,average obj value,mean,median,min,max,std
ml-reduction\size\exact-grb_timeout_60\test1\0.2,46062.31,46062.31,1316.253,1.001,0,1.0,0.0,64291.67,1.58,1.47,0.0,4.74,1.18
ml-reduction\size\exact-grb_timeout_60\test1\0.266667,61416.28,61416.28,1292.763,1.001,0,4.0,0.0,64234.19,1.44,1.27,0.0,4.34,1.15
ml-reduction\size\exact-grb_timeout_60\test1\0.33333,76769.4,76769.4,1259.04,1.001,0,8.0,0.0,64223.76,1.42,1.24,0.0,4.85,1.18
